Frequency (GHz)	DB(|S(2,1)|) : Filter_FF
3.365	-0.407179
3.37875	-0.421928
3.3925	-0.416667
3.40625	-0.415735
3.42	-0.418977
3.43375	-0.411541
3.4475	-0.419249
3.46125	-0.424549
3.475	-0.429001
3.48875	-0.43215
3.5025	-0.433429
3.51625	-0.430193
3.53	-0.443545
3.54375	-0.436329
3.5575	-0.448722
3.57125	-0.443733
3.585	-0.450749
3.59875	-0.457413
3.6125	-0.45464
3.62625	-0.456892
3.64	-0.459836
3.65375	-0.45727
3.6675	-0.460948
3.68125	-0.470654
3.695	-0.468246
3.70875	-0.469623
3.7225	-0.47369
3.73625	-0.478475
3.75	-0.480306
3.76375	-0.47919
3.7775	-0.476808
3.79125	-0.488573
3.805	-0.48559
3.81875	-0.494066
3.8325	-0.489749
3.84625	-0.503646
3.86	-0.500754
3.87375	-0.501539
3.8875	-0.492943
3.90125	-0.50928
3.915	-0.505377
3.92875	-0.514144
3.9425	-0.513308
3.95625	-0.516225
3.97	-0.521121
3.98375	-0.526601
3.9975	-0.516466
4.01125	-0.529255
4.025	-0.532567
4.03875	-0.533141
4.0525	-0.52964
4.06625	-0.526642
4.08	-0.539144
4.09375	-0.524189
4.1075	-0.53517
4.12125	-0.540413
4.135	-0.540983
4.14875	-0.539812
4.1625	-0.541447
4.17625	-0.538595
4.19	-0.543118
4.20375	-0.549294
4.2175	-0.553221
4.23125	-0.553262
4.245	-0.552691
4.25875	-0.554783
4.2725	-0.557933
4.28625	-0.56088
4.3	-0.562336
4.31375	-0.559995
4.3275	-0.564322
4.34125	-0.563375
4.355	-0.572537
4.36875	-0.567855
4.3825	-0.579725
4.39625	-0.571199
4.41	-0.584311
4.42375	-0.569045
4.4375	-0.572639
4.45125	-0.570269
4.465	-0.582909
4.47875	-0.58442
4.4925	-0.593622
4.50625	-0.593164
4.52	-0.596896
4.53375	-0.593437
4.5475	-0.593953
4.56125	-0.605889
4.575	-0.59651
4.58875	-0.612366
4.6025	-0.603047
4.61625	-0.619559
4.63	-0.616717
4.64375	-0.621324
4.6575	-0.61494
4.67125	-0.628931
4.685	-0.634537
4.69875	-0.652015
4.7125	-0.641506
4.72625	-0.645277
4.74	-0.657849
4.75375	-0.658896
4.7675	-0.666293
4.78125	-0.672388
4.795	-0.694825
4.80875	-0.683599
4.8225	-0.694639
4.83625	-0.696405
4.85	-0.713111
4.86375	-0.722443
4.8775	-0.736528
4.89125	-0.745082
4.905	-0.753463
4.91875	-0.76564
4.9325	-0.779842
4.94625	-0.78957
4.96	-0.800235
4.97375	-0.82304
4.9875	-0.819874
5.00125	-0.848101
5.015	-0.869199
5.02875	-0.891295
5.0425	-0.901846
5.05625	-0.895254
5.07	-0.913445
5.08375	-0.95833
5.0975	-0.96742
5.11125	-1.00272
5.125	-1.03209
5.13875	-1.04965
5.1525	-1.09768
5.16625	-1.11395
5.18	-1.14987
5.19375	-1.17674
5.2075	-1.18818
5.22125	-1.22629
5.235	-1.27793
5.24875	-1.2914
5.2625	-1.35761
5.27625	-1.3821
5.29	-1.46408
5.30375	-1.48745
5.3175	-1.51132
5.33125	-1.59191
5.345	-1.6484
5.35875	-1.69286
5.3725	-1.7411
5.38625	-1.82399
5.4	-1.89012
5.41375	-1.9262
5.4275	-2.02076
5.44125	-2.10584
5.455	-2.16132
5.46875	-2.25733
5.4825	-2.34013
5.49625	-2.42549
5.51	-2.5492
5.52375	-2.61273
5.5375	-2.74054
5.55125	-2.81915
5.565	-2.96264
5.57875	-3.06957
5.5925	-3.20742
5.60625	-3.33461
5.62	-3.47755
5.63375	-3.58818
5.6475	-3.75103
5.66125	-3.901
5.675	-4.06271
5.68875	-4.23159
5.7025	-4.41529
5.71625	-4.60095
5.73	-4.78061
5.74375	-4.99014
5.7575	-5.18465
5.77125	-5.41417
5.785	-5.60134
5.79875	-5.84807
5.8125	-6.06597
5.82625	-6.32486
5.84	-6.57951
5.85375	-6.82371
5.8675	-7.11297
5.88125	-7.36256
5.895	-7.64169
5.90875	-7.898
5.9225	-8.21904
5.93625	-8.5265
5.95	-8.82721
5.96375	-9.12186
5.9775	-9.46968
5.99125	-9.78248
6.005	-10.1387
6.01875	-10.476
6.0325	-10.8713
6.04625	-11.2228
6.06	-11.5795
6.07375	-11.9586
6.0875	-12.3828
6.10125	-12.7511
6.115	-13.146
6.12875	-13.5376
6.1425	-13.9905
6.15625	-14.4194
6.17	-14.8755
6.18375	-15.3126
6.1975	-15.7756
6.21125	-16.2326
6.225	-16.6959
6.23875	-17.2109
6.2525	-17.6603
6.26625	-18.1428
6.28	-18.7068
6.29375	-19.2882
6.3075	-19.808
6.32125	-20.4213
6.335	-20.9573
6.34875	-21.5738
6.3625	-22.1722
6.37625	-22.8963
6.39	-23.526
6.40375	-24.2767
6.4175	-24.995
6.43125	-25.7072
6.445	-26.6343
6.45875	-27.3858
6.4725	-28.3679
6.48625	-29.2948
6.5	-30.3414
6.51375	-31.4655
6.5275	-32.5739
6.54125	-34.0568
6.555	-35.3148
6.56875	-36.9252
6.5825	-38.5079
6.59625	-39.6911
6.61	-40.5052
6.62375	-40.2738
6.6375	-40.0894
6.65125	-38.8576
6.665	-37.7186
6.67875	-36.5267
6.6925	-35.7321
6.70625	-34.7467
6.72	-33.8353
6.73375	-33.016
6.7475	-32.2325
6.76125	-31.7422
6.775	-31.1433
6.78875	-30.6148
6.8025	-30.1678
6.81625	-29.659
6.83	-29.4095
6.84375	-28.9878
6.8575	-28.5997
6.87125	-28.2736
6.885	-28.0096
6.89875	-27.7328
6.9125	-27.4314
6.92625	-27.2008
6.94	-27.0146
6.95375	-26.7906
6.9675	-26.5938
6.98125	-26.453
6.995	-26.2437
7.00875	-26.058
7.0225	-25.954
7.03625	-25.7933
7.05	-25.6311
7.06375	-25.5723
7.0775	-25.3139
7.09125	-25.2681
7.105	-25.1092
7.11875	-25.0643
7.1325	-24.9248
7.14625	-24.8206
7.16	-24.719
7.17375	-24.6268
7.1875	-24.5643
7.20125	-24.4986
7.215	-24.3956
7.22875	-24.3153
7.2425	-24.2972
7.25625	-24.2727
7.27	-24.1667
7.28375	-24.103
7.2975	-24.0565
7.31125	-24.005
7.325	-23.9084
7.33875	-23.942
7.3525	-23.837
7.36625	-23.7992
7.38	-23.7982
7.39375	-23.7263
7.4075	-23.7185
7.42125	-23.7355
