Frequency (GHz)	DB(|S(2,1)|) : Single_Stage_Amp_Full_bias_at_6mA_Real	DB(|S(2,1)|) : Filter_Behind	DB(|S(2,1)|) : Filter_Ahead
12.2	-37.1703	-75.9965	-66.3444
12.3	-37.286	-76.4643	-68.8028
12.4	-37.772	-77.3281	-71.1145
12.5	-37.468	-77.3975	-72.2646
12.6	-37.3695	-77.6976	-73.346
12.7	-37.679	-78.4581	-74.6137
12.8	-37.6921	-78.84	-75.4187
12.9	-37.585	-79.1433	-75.9783
13	-37.4747	-79.3968	-76.417
13.1	-37.6812	-79.9598	-77.0942
13.2	-37.345	-79.9956	-77.194
13.3	-37.0077	-79.9028	-77.2119
13.4	-37.0342	-80.4079	-77.5397
13.5	-36.9123	-80.6018	-77.6912
13.6	-37.2144	-81.0977	-78.249
13.7	-37.5322	-81.6031	-78.7703
13.8	-37.6017	-81.9565	-79.0208
13.9	-38.1615	-82.5182	-79.7607
14	-38.1763	-82.8195	-79.9677
14.1	-38.966	-83.4854	-80.9234
14.2	-39.1671	-83.7925	-81.2948
14.3	-39.7287	-84.3348	-81.9892
14.4	-40.1645	-85.0269	-82.5736
14.5	-40.7747	-85.3137	-83.3431
14.6	-41.4151	-85.9711	-84.1558
14.7	-42.0377	-86.5572	-84.9088
14.8	-42.3856	-86.6212	-85.3778
14.9	-43.0473	-87.148	-86.2166
15	-43.6303	-87.5891	-86.9203
15.1	-44.1214	-87.9288	-87.5338
15.2	-44.561	-88.3633	-88.1455
15.3	-45.1021	-89.1554	-88.8265
15.4	-45.4399	-89.6344	-89.2613
15.5	-46.4261	-90.9731	-90.4111
15.6	-46.977	-91.6752	-91.1598
15.7	-47.6189	-92.4998	-91.9551
15.8	-48.4686	-93.5358	-92.9399
15.9	-49.8351	-94.8569	-94.4293
16	-50.6033	-95.5876	-95.3742
16.1	-51.8948	-97.0075	-96.802
16.2	-52.742	-97.8794	-97.7631
16.3	-53.7512	-98.9052	-98.913
16.4	-54.894	-100.11	-100.195
16.5	-55.8068	-101.022	-101.197
16.6	-56.5846	-101.818	-102.104
16.7	-57.7502	-103.072	-103.401
16.8	-58.4637	-103.765	-104.244
16.9	-59.9702	-105.309	-105.904
17	-61.7177	-107.015	-107.772
17.1	-63.5732	-108.906	-109.784
17.2	-65.3291	-110.634	-111.699
17.3	-66.722	-112.068	-113.217
17.4	-67.0453	-112.378	-113.746
17.5	-66.8562	-112.128	-113.718
17.6	-64.1885	-109.395	-111.19
17.7	-61.1327	-106.403	-108.264
17.8	-58.8221	-104.102	-106.107
17.9	-57.7346	-103.082	-105.088
18	-57.0643	-102.543	-104.518
18.1	-56.6307	-102.179	-104.201
18.2	-56.1329	-101.762	-103.858
18.3	-55.3817	-101.071	-103.369
18.4	-54.6347	-100.462	-102.837
18.5	-54.2124	-100.213	-102.601
18.6	-53.1661	-99.2801	-101.843
18.7	-51.7232	-97.9146	-100.598
18.8	-50.0147	-96.2173	-99.0821
18.9	-48.5186	-94.7339	-97.8247
19	-47.2579	-93.198	-96.6642
19.1	-48.5028	-94.5537	-98.0372
19.2	-49.7428	-96.1182	-99.5764
19.3	-51.8742	-98.4016	-102.035
19.4	-53.9823	-100.84	-104.55
19.5	-55.939	-102.894	-106.914
19.6	-57.6412	-104.879	-108.974
19.7	-58.7855	-106.147	-110.6
19.8	-60.2297	-107.747	-112.364
19.9	-59.9736	-107.674	-112.438
20	-61.6634	-109.523	-114.52
